id,area,area.name,pc.area. name,region,population,lenders,borrowers,avg.loan,avg.borr,median.loan,median.borr,min.loan,max.loan,min.borr,max.borr,sd.loan,sd.borr,total.loan,total.borr,loan.parts,borr.parts
AB,AB,Aberdeen,Aberdeen,Scotland,569100,396,650,7553.06061,5929.28154,1410.00,4530.00,10,344270,159,99100,22544.63168,7348.97162,2991012,3854033,114340,160492
AL,AL,St Albans,St Albans,East of England,251946,401,220,9017.55112,7593.35909,1840.00,4600.00,10,313950,91,200180,27061.99456,16756.02438,3616038,1670539,125891,59343
B,B,Birmingham,Birmingham,West Midlands,1846552,962,1422,6118.99272,6907.44444,880.00,4172.00,10,504722,18,163220,23364.22310,12892.18929,5886471,9822386,205461,333139
BA,BA,Bath,Bath,South West,435165,458,396,7698.07860,6267.26515,1835.00,4134.00,10,217590,98,99300,18202.15001,10906.19048,3525720,2481837,144256,88077
BB,BB,Blackburn,Blackburn,North West,480332,215,495,7106.73023,6476.93131,1090.00,4130.00,10,357700,455,99740,28447.10543,11836.29984,1527947,3206081,51687,111327
BD,BD,Bradford,Bradford,North West,568501,238,513,6518.12605,5942.45809,900.00,4130.00,10,150900,199,98020,16319.77477,10312.11357,1551314,3048481,59789,117257
BH,BH,Bournemouth,Bournemouth,South West,531307,515,469,9151.71456,6238.03838,1200.00,4130.00,10,436560,432,58660,30887.65974,8269.34546,4713133,2925640,152575,110606
BL,BL,Bolton,Bolton,North West,368735,215,406,5568.72093,6077.65025,1000.00,4149.00,10,201060,4,131800,18641.13883,11615.44000,1197275,2467526,46681,91153
BN,BN,Brighton,Brighton,South East,782231,791,742,8460.52212,6931.69677,1500.00,4190.00,10,325600,380,99120,26021.51190,10769.84796,6692273,5143319,264622,178565
BR,BR,Bromley,Bromley,London,301681,344,267,6415.92151,6683.11611,1320.00,4441.00,10,253340,543,98900,19806.15021,8864.66066,2207077,1784392,89326,61142
BS,BS,Bristol,Bristol,South West,964970,868,991,8782.45507,5600.16044,1300.00,4130.00,10,843075,137,246840,36844.38561,9867.92646,7623171,5549759,249578,231297
BT,BT,Northern Ireland,Northern Ireland,Northern Ireland,1811000,613,1301,4121.80587,5374.99385,840.00,4130.00,10,90080,186,98720,10473.55226,7364.98549,2526667,6992867,104697,281232
CA,CA,Carlisle,Carlisle,North West,311126,180,409,8494.94444,5033.94132,1540.00,4130.00,10,258236,349,73540,24806.93794,5934.40600,1529090,2058882,52852,88547
CB,CB,Cambridge,Cambridge,East of England,420107,593,401,8538.78415,6323.25935,1640.00,4180.00,10,595107,238,98600,37449.27263,10010.54271,5063499,2535627,184956,93412
CF,CF,Cardiff,Cardiff,Wales,988650,509,1020,4319.99411,5734.13628,990.00,4140.00,10,142129,9,99780,12232.88008,9869.83493,2198877,5848819,102319,232073
CH,CH,Chester,Chester,Wales,643244,437,795,7194.72998,5426.91950,1120.00,4130.00,10,376711,41,245360,24888.54560,11040.45608,3144097,4314401,113800,175396
CM,CM,Chelmsford,Chelmsford,East of England,655328,680,656,10443.07647,6436.42835,1540.00,4213.00,10,924579,89,99500,51557.33477,8838.83049,7101292,4222297,228649,158510
CO,CO,Colchester,Colchester,East of England,427668,301,375,10725.07309,6121.50667,1140.00,4168.00,10,368387,279,98860,32693.96572,10126.18690,3228247,2295565,86742,85472
CR,CR,Croydon,Croydon,London,396706,368,247,7541.64674,9114.35223,1600.00,5000.00,10,168412,169,196460,18813.21028,19418.61916,2775326,2251245,105637,64042
