id,region,population,lenders,borrowers,total.borr,total.loan,avg.borr,avg.loan,median.borr,median.loan,sd.borr,sd.loan,min.borr,max.borr,min.loan,max.loan,borr.parts,loan.parts
East Midlands,East Midlands,4537400,2705,3975,25239248,15665415,6349.4964,5791.2810,4130,1080,11072.4523,16487.0599,136,99800,10,352111,920115,668913
East of England,East of England,5862400,4318,4872,29747796,37243068,6105.8695,8625.0736,4180,1360,9736.9463,36869.2350,49,200180,10,1121815,1139833,1244308
London,London,8204400,10525,5633,48724619,96534720,8649.8525,9171.9449,5020,1440,15125.1941,39289.0544,87,247760,10,2548400,1457048,3161159
North East,North East,2596400,1247,2974,17249818,8104418,5800.2078,6499.1323,4130,1080,10931.4398,16855.1949,72,297120,10,220216,666947,359230
North West,North West,7056000,3881,7134,42434103,26802743,5948.1501,6906.1435,4130,1090,9783.1110,24151.5150,4,99900,10,520369,1604094,1006800
Northern Ireland,Northern Ireland,1806900,613,1301,6992867,2526667,5374.9939,4121.8059,4130,840,7364.9855,10473.5523,186,98720,10,90080,281232,104697
Scotland,Scotland,5254800,3074,6236,33108016,19218875,5309.1751,6252.0738,4148,1160,7351.3762,19232.5590,20,239420,10,354857,1401942,762611
South East,South East,8652800,9085,7971,57601927,76352684,7226.4367,8404.2580,4330,1580,13377.7763,28936.0216,81,495840,10,1142160,1946470,2887688
South West,South West,5300800,5006,5210,32076434,41144316,6156.7052,8219.0004,4130,1420,10778.1723,26898.8574,95,246840,10,843075,1204041,1555141
Wales,Wales,3063800,2145,3870,22355151,12879645,5776.5248,6004.4965,4130,1140,10349.9601,18977.4414,9,245360,10,402920,876748,536540
West Midlands,West Midlands,5608700,3062,4747,29977773,21207182,6315.0986,6925.9249,4130,1080,11155.5230,25388.2085,18,163220,10,504722,1081859,783857
Yorkshire and The Humber,Yorkshire and The Humber,5288200,3230,5928,32755664,20583683,5525.5843,6372.6573,4130,1190,9627.0284,21224.0431,103,313500,10,633300,1344218,853603
